,level_0,metadata_title,date,index,filepath,dir,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language
0,2340,DDD:ddd:010417608:mpeg21.didl.xml.gz.xml,1950-06-15,2340,../data/1950/06-15/DDD_010417608/DDD:ddd:010417608:mpeg21.didl.xml.gz.xml,../data/1950/06-15/DDD_010417608,Limburgsch dagblad,1950-06-15,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,139,nl
1,2341,DDD:ddd:010554015:mpeg21.didl.xml.gz.xml,1950-06-15,2341,../data/1950/06-15/DDD_010554015/DDD:ddd:010554015:mpeg21.didl.xml.gz.xml,../data/1950/06-15/DDD_010554015,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-06-15,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6,247,nl
2,2342,DDD:ddd:011155482:mpeg21.didl.xml.gz.xml,1950-10-02,2342,../data/1950/10-02/DDD_011155482/DDD:ddd:011155482:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_011155482,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-10-02,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101552,79,12410,nl
3,2343,DDD:ddd:011202134:mpeg21.didl.xml.gz.xml,1950-10-02,2343,../data/1950/10-02/DDD_011202134/DDD:ddd:011202134:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_011202134,De Tĳd : godsdienstig-staatkundig dagblad,1950-10-02,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,106,34545,nl
4,2344,DDD:ddd:010891619:mpeg21.didl.xml.gz.xml,1950-10-02,2344,../data/1950/10-02/DDD_010891619/DDD:ddd:010891619:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010891619,Nieuwsblad van het Noorden,1950-10-02,Groningen,Nieuwenhuis,Groninger archieven 649-1319,63,230,nl
5,2345,DDD:ddd:010417675:mpeg21.didl.xml.gz.xml,1950-10-02,2345,../data/1950/10-02/DDD_010417675/DDD:ddd:010417675:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010417675,Limburgsch dagblad,1950-10-02,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,231,nl
6,2346,DDD:ddd:010733911:mpeg21.didl.xml.gz.xml,1950-10-02,2346,../data/1950/10-02/DDD_010733911/DDD:ddd:010733911:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010733911,Nieuwsblad van Friesland : Hepkema's courant,1950-10-02,Heerenveen,J. Hepkema,Tresoar,76,118,nl
7,2347,DDD:ddd:010987718:mpeg21.didl.xml.gz.xml,1950-10-02,2347,../data/1950/10-02/DDD_010987718/DDD:ddd:010987718:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010987718,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-10-02,[Willemstad,NV Paulus Drukkerĳ,Koninklijke Bibliotheek C 251,67,7980,nl
8,2349,DDD:ddd:110637513:mpeg21.didl.xml.gz.xml,1950-10-02,2349,../data/1950/10-02/DDD_110637513/DDD:ddd:110637513:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_110637513,De West : nieuwsblad uit en voor Suriname,1950-10-02,Paramaribo,W. Kraan,Koninklijke Bibliotheek,41,5219,nl
9,2350,DDD:ddd:010537453:mpeg21.didl.xml.gz.xml,1950-10-02,2350,../data/1950/10-02/DDD_010537453/DDD:ddd:010537453:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010537453,De Heerenveensche koerier : onafhankelĳk dagblad voor Midden-Zuid-Oost-Friesland en Noord-Overĳssel,1950-10-02,Leeuwarden [etc.],Stichting Je Maintiendrai Friesland,KB C 199,6,231,nl
10,2351,DDD:ddd:010950555:mpeg21.didl.xml.gz.xml,1950-10-02,2351,../data/1950/10-02/DDD_010950555/DDD:ddd:010950555:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010950555,Het vrĳe volk : democratisch-socialistisch dagblad,1950-10-02,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,6,1640,nl
11,2352,DDD:ddd:010862748:mpeg21.didl.xml.gz.xml,1950-10-02,2352,../data/1950/10-02/DDD_010862748/DDD:ddd:010862748:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010862748,De locomotief : Samarangsch handels- en advertentie-blad,1950-10-02,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,99,26,nl
12,2353,DDD:ddd:011210824:mpeg21.didl.xml.gz.xml,1950-10-02,2353,../data/1950/10-02/DDD_011210824/DDD:ddd:011210824:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_011210824,De vrije pers : ochtendbulletin,1950-10-02,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,3,10,nl
13,2354,DDD:ddd:010865439:mpeg21.didl.xml.gz.xml,1950-10-02,2354,../data/1950/10-02/DDD_010865439/DDD:ddd:010865439:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010865439,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-10-02,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,99,26,nl
14,2355,DDD:ddd:010480649:mpeg21.didl.xml.gz.xml,1950-10-02,2355,../data/1950/10-02/DDD_010480649/DDD:ddd:010480649:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010480649,Het nieuws : algemeen dagblad,1950-10-02,Paramaribo,A.J. Morpurgo,KB C 197,7,2180,nl
15,2356,DDD:ddd:110585162:mpeg21.didl.xml.gz.xml,1950-10-02,2356,../data/1950/10-02/DDD_110585162/DDD:ddd:110585162:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_110585162,De Telegraaf,1950-10-02,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19641,nl
16,2358,DDD:ddd:010852361:mpeg21.didl.xml.gz.xml,1950-10-02,2358,../data/1950/10-02/DDD_010852361/DDD:ddd:010852361:mpeg21.didl.xml.gz.xml,../data/1950/10-02/DDD_010852361,De waarheid,1950-10-02,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10,431,nl
17,2359,DDD:ddd:010852470:mpeg21.didl.xml.gz.xml,1950-08-09,2359,../data/1950/08-09/DDD_010852470/DDD:ddd:010852470:mpeg21.didl.xml.gz.xml,../data/1950/08-09/DDD_010852470,De waarheid,1950-08-09,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10,385,nl
