,level_0,metadata_title,date,index,filepath,dir,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language
0,3536,DDD:ddd:011155528:mpeg21.didl.xml.gz.xml,1950-11-24,3536,../data/1950/11-24/DDD_011155528/DDD:ddd:011155528:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_011155528,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-11-24,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101553,79,12456,nl
1,3537,DDD:ddd:110637554:mpeg21.didl.xml.gz.xml,1950-11-24,3537,../data/1950/11-24/DDD_110637554/DDD:ddd:110637554:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_110637554,De West : nieuwsblad uit en voor Suriname,1950-11-24,Paramaribo,W. Kraan,Koninklijke Bibliotheek,41,5265,nl
2,3538,DDD:ddd:010537497:mpeg21.didl.xml.gz.xml,1950-11-24,3538,../data/1950/11-24/DDD_010537497/DDD:ddd:010537497:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010537497,De Heerenveensche koerier : onafhankelĳk dagblad voor Midden-Zuid-Oost-Friesland en Noord-Overĳssel,1950-11-24,Leeuwarden [etc.],Stichting Je Maintiendrai Friesland,KB C 199,6,277,nl
3,3539,DDD:ddd:010480695:mpeg21.didl.xml.gz.xml,1950-11-24,3539,../data/1950/11-24/DDD_010480695/DDD:ddd:010480695:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010480695,Het nieuws : algemeen dagblad,1950-11-24,Paramaribo,A.J. Morpurgo,KB C 197,7,2226,nl
4,3540,DDD:ddd:010733934:mpeg21.didl.xml.gz.xml,1950-11-24,3540,../data/1950/11-24/DDD_010733934/DDD:ddd:010733934:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010733934,Nieuwsblad van Friesland : Hepkema's courant,1950-11-24,Heerenveen,J. Hepkema,Tresoar,76,141,nl
5,3541,DDD:ddd:010852407:mpeg21.didl.xml.gz.xml,1950-11-24,3541,../data/1950/11-24/DDD_010852407/DDD:ddd:010852407:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010852407,De waarheid,1950-11-24,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10,477,nl
6,3542,DDD:ddd:010476443:mpeg21.didl.xml.gz.xml,1950-11-24,3542,../data/1950/11-24/DDD_010476443/DDD:ddd:010476443:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010476443,Het nieuwsblad voor Sumatra,1950-11-24,Medan,Deli Courant en De Sumatra post,KB C 937,3,694,nl
7,3544,DDD:ddd:011210866:mpeg21.didl.xml.gz.xml,1950-11-24,3544,../data/1950/11-24/DDD_011210866/DDD:ddd:011210866:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_011210866,De vrije pers : ochtendbulletin,1950-11-24,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,3,53,nl
8,3545,DDD:ddd:010417719:mpeg21.didl.xml.gz.xml,1950-11-24,3545,../data/1950/11-24/DDD_010417719/DDD:ddd:010417719:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010417719,Limburgsch dagblad,1950-11-24,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,276,nl
9,3546,DDD:ddd:010987763:mpeg21.didl.xml.gz.xml,1950-11-24,3546,../data/1950/11-24/DDD_010987763/DDD:ddd:010987763:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010987763,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-11-24,[Willemstad,NV Paulus Drukkerĳ,Koninklijke Bibliotheek C 251,67,8024,nl
10,3547,DDD:ddd:010865482:mpeg21.didl.xml.gz.xml,1950-11-24,3547,../data/1950/11-24/DDD_010865482/DDD:ddd:010865482:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_010865482,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-11-24,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,99,69,nl
11,3548,DDD:ddd:110585208:mpeg21.didl.xml.gz.xml,1950-11-24,3548,../data/1950/11-24/DDD_110585208/DDD:ddd:110585208:mpeg21.didl.xml.gz.xml,../data/1950/11-24/DDD_110585208,De Telegraaf,1950-11-24,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19687,nl
