,level_0,metadata_title,date,index,filepath,dir,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language
0,1179,DDD:ddd:110637499:mpeg21.didl.xml.gz.xml,1950-09-14,1179,../data/1950/09-14/DDD_110637499/DDD:ddd:110637499:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_110637499,De West : nieuwsblad uit en voor Suriname,1950-09-14,Paramaribo,W. Kraan,Koninklijke Bibliotheek,41,5204,nl
1,1180,DDD:ddd:010554054:mpeg21.didl.xml.gz.xml,1950-09-14,1180,../data/1950/09-14/DDD_010554054/DDD:ddd:010554054:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_010554054,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-09-14,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6,286,nl
2,1181,DDD:ddd:010862734:mpeg21.didl.xml.gz.xml,1950-09-14,1181,../data/1950/09-14/DDD_010862734/DDD:ddd:010862734:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_010862734,De locomotief : Samarangsch handels- en advertentie-blad,1950-09-14,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,99,12,nl
3,1183,DDD:ddd:011185186:mpeg21.didl.xml.gz.xml,1950-09-14,1183,../data/1950/09-14/DDD_011185186/DDD:ddd:011185186:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_011185186,De Volksvriend,1950-09-14,"Orange City, Iowa",Henry Hospers,Roosevelt Study Center,76,49,nl
4,1184,DDD:ddd:010417758:mpeg21.didl.xml.gz.xml,1950-09-14,1184,../data/1950/09-14/DDD_010417758/DDD:ddd:010417758:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_010417758,Limburgsch dagblad,1950-09-14,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,216,nl
5,1185,DDD:ddd:011218942:mpeg21.didl.xml.gz.xml,1950-09-14,1185,../data/1950/09-14/DDD_011218942/DDD:ddd:011218942:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_011218942,De Surinamer : nieuws- en advertentieblad,1950-09-14,[Paramaribo],Timmerman,Koninklijke Bibliotheek 1608 C 7,57,6752,nl
6,1186,DDD:ddd:110585147:mpeg21.didl.xml.gz.xml,1950-09-14,1186,../data/1950/09-14/DDD_110585147/DDD:ddd:110585147:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_110585147,De Telegraaf,1950-09-14,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19626,nl
7,1187,DDD:ddd:011155467:mpeg21.didl.xml.gz.xml,1950-09-14,1187,../data/1950/09-14/DDD_011155467/DDD:ddd:011155467:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_011155467,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-09-14,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101552,79,12395,nl
8,1188,DDD:ddd:011210811:mpeg21.didl.xml.gz.xml,1950-09-14,1188,../data/1950/09-14/DDD_011210811/DDD:ddd:011210811:mpeg21.didl.xml.gz.xml,../data/1950/09-14/DDD_011210811,De vrije pers : ochtendbulletin,1950-09-14,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2,295,nl
9,1189,DDD:ddd:011210862:mpeg21.didl.xml.gz.xml,1950-11-20,1189,../data/1950/11-20/DDD_011210862/DDD:ddd:011210862:mpeg21.didl.xml.gz.xml,../data/1950/11-20/DDD_011210862,De vrije pers : ochtendbulletin,1950-11-20,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,3,49,nl
