,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,article_filepath,article_name,count,date,dir,index_article,index_metadata,metadata_filepath,metadata_title,newspaper_city,newspaper_date,newspaper_issuenumber,newspaper_language,newspaper_publisher,newspaper_source,newspaper_title,newspaper_volume,accuracy_selection,text,text_clean,type,energy,sentiment
1,1,3038,3038,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-09/DDD_010645647/DDD_010645647_0550_articletext.xml,DDD_010645647_0550_articletext.xml,1,1990-03-09,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-09/DDD_010645647,2411001,6150.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-09/DDD_010645647/DDD:ddd:010645647:mpeg21.didl.xml.gz.xml,DDD:ddd:010645647:mpeg21.didl.xml.gz.xml,Amsterdam,1990-03-09,31769.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,98.0,0.0983148837277617,"De uitworp van zwaveldioxide (SO2) door het verstoken van fossiele brandstoffen (olie, kolen en gas) is vorig jaar met 10 procent gedaald ten opzichte van 1988. De uitworp van stikstofoxiden (NOx) nam met 3 procent af.",de van zwaveldioxide door het verstoken van fossiele brandstoffen olie kolen en gas is vorig jaar met procent gedaald ten opzichte van de van nam met procent af,p,Y,NG
3,3,3951,3951,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-17/DDD_010646636/DDD_010646636_1218_articletext.xml,DDD_010646636_1218_articletext.xml,1,1992-10-17,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-17/DDD_010646636,1646149,4200.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-17/DDD_010646636/DDD:ddd:010646636:mpeg21.didl.xml.gz.xml,DDD:ddd:010646636:mpeg21.didl.xml.gz.xml,Amsterdam,1992-10-17,32572.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,100.0,0.13901439761153406,"Niets aan te doen, zegt British Coal: de kolen zijn voor de elektriciteitsmaatschappijen te duur, gas is goedkoper en we zitten al met enorme onverkoopbare voorraden. Toch zullen sociale spanningen niet uitblijven. Zulke historisch noodzakelijke transformaties dienen ook wel wat zorgvuldiger tot stand te worden gebracht.",niets aan te doen zegt de kolen zijn voor de te gas is goedkoper en we zitten al met enorme onverkoopbare voorraden toch sociale spanningen niet historisch noodzakelijke transformaties dienen ook wel wat tot stand te worden gebracht,p,Y,PO
7,9,2180,2180,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-24/DDD_010628788/DDD_010628788_0179_articletext.xml,DDD_010628788_0179_articletext.xml,1,1993-02-24,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-24/DDD_010628788,247639,624.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-24/DDD_010628788/DDD:ddd:010628788:mpeg21.didl.xml.gz.xml,DDD:ddd:010628788:mpeg21.didl.xml.gz.xml,Amersfoort,1993-02-24,12333.0,nl,Stichting Nederlands Dagblad,Nederlands Dagblad,Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.],49.0,0.07472725559316601,"De ontsluiting van aardgasreserves in de Derde Wereld krijgt ook de nodig aandacht van de Wereldbank. Volgens Saunders beschikken ongeveer vijftig ontwikkelingslanden over gasreserves, terwijl die landen steenkool en olie importeren. In de energiesector moet de concurrentie worden gestimuleerd, zodat de particuliere sector zich ook met de opwekking van energie kan bezighouden.",de van in de derde wereld krijgt ook de nodig aandacht van de wereldbank volgens beschikken ongeveer vijftig ontwikkelingslanden over terwijl die landen steenkool en olie importeren in de moet de worden zodat de sector zich ook met de opwekking van energie kan,p,Y,PO
8,10,3630,3630,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-12/DDD_010622623/DDD_010622623_0127_articletext.xml,DDD_010622623_0127_articletext.xml,1,1992-05-12,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-12/DDD_010622623,2120646,,,,,,,,,,,,0.1264674908757741,"DEN HAAG (GPD) - Het ministerie van economische zaken besteedt dit jaar circa ƒ 60 miljoen aan kernenergie-onderzoek. Dat is meer dan aan onderzoek naar duurzame energie (zon, wind en water) of naar energie uit steenkool, olie of gas. Alleen aan onderzoek naar energiebesparingsmogelijkheden wordt meer geld uitgegeven (/ 73 miljoen). De totale uitfaven voor energie-onderzoek in 992 bedragen f 180 miljoen, zo blijkt uit antwoorden van minister Koos Andriessen van economomische zaken op vragen uit de Tweede Kamer.",het ministerie van economische zaken besteedt dit jaar circa miljoen aan dat is meer dan aan onderzoek naar energie wind en water of naar energie steenkool olie of gas alleen aan onderzoek naar wordt meer geld miljoen de totale voor in bedragen miljoen zo blijkt antwoorden van minister koos van zaken op vragen de tweede kamer,p,Y,NE
11,13,1425,1425,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-16/DDD_010646635/DDD_010646635_0576_articletext.xml,DDD_010646635_0576_articletext.xml,1,1992-10-16,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-16/DDD_010646635,1682890,4289.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-16/DDD_010646635/DDD:ddd:010646635:mpeg21.didl.xml.gz.xml,DDD:ddd:010646635:mpeg21.didl.xml.gz.xml,Amsterdam,1992-10-16,32571.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,100.0,0.1148516832298879,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",in plaats van het in reserve van gas ontvangt de per meter gas een bepaald bedrag het gas wordt via het bestaande rechtstreeks naar getransporteerd de vraag naar gas is in dit gedeelte van de sterk toegenomen vanwege het schone karakter van de brandstof traditioneel werd in de voormalige sterk gestookt,p,Y,PO
12,15,357,357,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-22/DDD_010622813/DDD_010622813_0161_articletext.xml,DDD_010622813_0161_articletext.xml,2,1992-12-22,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-22/DDD_010622813,1872292,,,,,,,,,,,,0.1444261846184037,"Volgens de Britse regering is er geen markt meer voor een groot deel van de steenkool. Er zijn grote voorraden overtollige steenkool, mede omdat de elektriciteitsmaatschappijen vooral het veel schonere aardgas gebruiken.",volgens de regering is er geen markt meer voor een groot deel van de steenkool er zijn grote voorraden overtollige steenkool mede omdat de vooral het veel aardgas,p,Y,PO
13,16,1105,1105,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-04/DDD_010622798/DDD_010622798_0232_articletext.xml,DDD_010622798_0232_articletext.xml,1,1992-12-04,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-04/DDD_010622798,2052982,,,,,,,,,,,,0.0587480616996012,"MUNCHEN (AP) - De grote Duitse elektriciteitsmaatschappijen VEBA en RWE willen kernenergie op den duur vaarwel zeggen en geen brandstof staven meer opwerken. Dat heeft de SUddeutsche Zeitung vandaag gemeld. Volgens de krant hebben de maatschappijen bondskanselier Helmut Konl in een brief op de hoogte gebracht. Als de huidige kerncentrales over een aantal jaren moeten worden gesloten, zouden zij moeten worden vervangen door kolen- en fascentrales, aldus de directies. Zij evelen wel aan het onderzoek naar veilige kernenergie voort te zetten.",de grote en willen kernenergie op vaarwel zeggen en geen brandstof staven meer opwerken dat heeft de vandaag gemeld volgens de krant hebben de maatschappijen bondskanselier in een brief op de hoogte gebracht als de over een aantal jaren moeten worden gesloten zoden zij moeten worden vervangen door en de directies zij wel aan het onderzoek naar veilige kernenergie voort te zetten,p,Y,NE
14,17,4005,4005,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/04-27/DDD_011019619/DDD_011019619_0623_articletext.xml,DDD_011019619_0623_articletext.xml,1,1991-04-27,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/04-27/DDD_011019619,3215107,8295.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/04-27/DDD_011019619/DDD:ddd:011019619:mpeg21.didl.xml.gz.xml,DDD:ddd:011019619:mpeg21.didl.xml.gz.xml,Groningen,1991-04-27,99.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,104.0,0.060512865161674124,"In de discussies over de elektriciteitsopwekking in de toekomst zijn kerncentrales tot voor vijf jaar nadrukkelijk in beeld geweest. Kernenergie is uiteindelijk op een zijspoor gezet gezien de potentiële gevaren die eraan kleven. Gekozen werd voor de bouw van nieuwe aardgas- dan wel kolen gestookte centrales, die een hoog rendement opleveren, en stimuleren van andere opwekkingsmogelijkheden als bijvoorbeeld windmolens. Volgens Van Halderen is op lange termijn echter niet aan kernenergie te ontkomen.",in de over de in de toekomst zijn tot voor vijf jaar in beeld geweest kernenergie is op een zijspoor gezet gezien de gevaren die eraan kleven gekozen werd voor de van dan wel kolen gestookte centrales die een hoog rendement opleveren en van andere als bijvoorbeeld windmolens volgens van is op lange termijn echter niet aan kernenergie te ontkomen,p,Y,PO
15,18,2046,2046,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-04/DDD_010559678/DDD_010559678_0151_articletext.xml,DDD_010559678_0151_articletext.xml,1,1991-06-04,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-04/DDD_010559678,3757946,,,,,,,,,,,,0.0982474794522153,"Het aandeel van kolen in de elektriciteitsproduktie steeg vorig jaar van 37,4 naar 45 procent, terwijl dat van gas daalde van 54,2 naar 47,6 procent. Het aandeel van kernenergie daalde van 7,8 naar 7,1 procent en dat van olie van 0,6 naar 0,3 procent. De stijging van het thermisch rendement van de voorgaande jaren zette niet door. Het bedroeg vorig jaar 40,4 procent, evenals in 1989.",het aandeel van kolen in de steeg vorig jaar van naar procent terwijl dat van gas daalde van naar procent het aandeel van kernenergie daalde van naar procent en dat van olie van naar procent de stijging van het thermisch rendement van de voorgaande jaren zette niet door het bedroeg vorig jaar procent evenals in,p,Y,NE
18,22,1716,1716,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-14/DDD_010646660/DDD_010646660_0658_articletext.xml,DDD_010646660_0658_articletext.xml,1,1992-05-14,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-14/DDD_010646660,2063328,5249.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-14/DDD_010646660/DDD:ddd:010646660:mpeg21.didl.xml.gz.xml,DDD:ddd:010646660:mpeg21.didl.xml.gz.xml,Amsterdam,1992-05-14,32440.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,100.0,0.06890414693050331,"De belastingmaatregel, die al 1 januari 1993 door de lidstaten zou moeten worden ingevoerd, is deel van de eind 1990 overeengekomen strategie om de CÖ2-uitstoot in de EG in het jaar 2000 te stabiliseren op het niveau van 1990. De helft van dit streven moet worden bereikt door de ecotax', de andere helft door energiebesparingsprogamma's. De voorgestelde heffing wordt gebaseerd op enerzijds de energetische waarde van de betrokken stof en anderzijds de CO2-uitstoot, waarbij de eerste component niet meer dan 50% mag bedragen. Fossiele brandstoffen (kolen, oüe en gas) worden op deze manier zwaarder belast dan bijvoorbeeld kernenergie.",de die al door de lidstaten zo moeten worden ingevoerd is deel van de eind overeengekomen strategie om de in de eg in het jaar te stabiliseren op het van de helft van dit streven moet worden bereikt door de de andere helft door de voorgestelde heffing wordt gebaseerd op enerzijds de energetische waarde van de betrokken stof en anderzijds de waarbij de eerste component niet meer dan mag bedragen fossiele brandstoffen kolen en gas worden op deze manier zwaarder belast dan bijvoorbeeld kernenergie,p,Y,NG
